Run,Event,type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
167807,1104386030,G,195.263,-14.308,-55.8747,186.55,57.6775,1.8901,-1.8215,-1,G,106.096,14.4002,34.9711,99.1262,37.8199,1.6913,1.1802,1,93.6447
167807,1105133337,G,51.3492,26.4566,-0.3548,-44.0074,26.4589,-1.282,-0.0134,1,G,43.2173,-36.3792,10.9971,20.5753,38.005,0.5179,2.848,-1,90.4547
167807,1105106630,G,65.438,1.9523,39.5113,52.1265,39.5595,1.0892,1.5214,1,G,36.8747,23.9,-24.9527,-12.8795,34.5521,-0.3646,-0.8069,-1,89.7066
167807,1105457301,G,62.7188,-15.8729,23.1774,56.0759,28.0916,1.4419,2.1713,1,G,33.3792,9.5644,-23.1098,-22.1047,25.0108,-0.7968,-1.1784,-1,89.6716
167807,1105188802,G,35.3256,-32.7754,-11.0057,7.2483,34.5738,0.2081,-2.8176,1,G,78.4477,52.4176,15.9944,56.1303,54.8035,0.8984,0.2962,-1,92.2866
167807,1104900060,G,54.6846,21.6764,-32.9008,37.9218,39.3997,0.8546,-0.9882,-1,G,39.0826,-7.9002,27.8582,-26.2477,28.9568,-0.8136,1.8471,1,91.8738
167807,1106625233,G,78.3302,-38.3285,15.5946,-66.5082,41.3795,-1.2528,2.7552,-1,G,58.5283,35.9883,-27.6534,-36.9552,45.3858,-0.7438,-0.6552,1,88.7394
167807,1107869626,G,41.8818,-39.4787,-13.9229,1.2863,41.8619,0.0307,-2.8025,-1,G,52.9588,50.4354,14.3003,7.5092,52.4236,0.1428,0.2763,1,93.7932
167807,1106800341,G,218.59,35.3152,23.4579,-214.44,42.3962,-2.3237,0.5863,-1,G,263.749,-45.0174,-24.1105,-258.758,51.0674,-2.3255,-2.6499,1,92.9566
167807,1107229149,G,51.2549,-24.0319,-43.6039,-12.1747,49.7879,-0.2422,-2.0745,-1,G,46.4308,12.0421,37.7879,-24.1427,39.6603,-0.5763,1.2623,1,89.6993
